filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
Three Little Birds.m4a,3978240,0.401460975,0.093281679,0.155832708,0.006574505,2213.825864,1009204.309,2334.863144,419369.8124,4696.245849,4778354.374,0.1025084,0.005922108,1.54e-06,0.020103231,1.85e-05,0.005703296,151.9990809,-141.3871765,8857.023438,92.68823242,1508.907471,-8.5291605,942.2666626,25.49625587,443.9239502,15.00100231,269.6803589,18.19057655,194.2838287,1.137217999,163.9677582,10.48682785,124.8718262,-0.480240613,92.93253326,13.459692,94.58740997,-7.156424999,93.87382507,9.752380371,71.46380615,-2.357361794,78.50931549,-0.583287835,91.96076965,-1.084283948,73.32139587,4.913266182,73.99545288,-7.533187389,68.28250885,3.913779974,65.71650696,-4.49814558,78.28646851,2.408742666,88.6486969
Thriller.m4a,7889920,0.453402042,0.083113745,0.11947231,0.00406047,2639.237396,603715.0271,2653.698557,187553.1551,5757.481929,2911923.039,0.122712895,0.004176146,2.4e-05,0.006715011,-1.69e-05,0.007009645,117.4538352,-103.8343048,6558.967773,86.60619354,916.0473633,-1.83721149,610.5065308,12.38356304,384.4147949,-2.388678312,181.3063049,10.94660664,171.0444183,-7.342926502,129.2837524,5.957242966,111.8731003,-7.166349411,87.61539459,8.70232296,99.65452576,-6.906085014,89.29096222,6.38399601,76.03665161,-6.322246552,65.58208466,5.027630329,59.69113922,-4.484837532,59.06237793,3.97785306,51.45595932,-5.945299625,53.55659866,3.189748764,49.48170471,-7.006121635,51.75993729,5.504156113,60.56760406
"Toccata & Fugue D Minor, BWV 565.m4a",12480512,0.307280213,0.083445325,0.05259316,0.001334476,1482.781914,218619.9829,1686.032695,107575.294,2833.745063,1060737.149,0.102165896,0.002485836,-5.76e-08,0.003309492,-1.79e-06,0.000132126,172.265625,-244.5996704,9504.203125,135.1300049,1037.756714,-15.71947384,306.1887817,13.78158951,108.7045898,-6.65047121,89.98558044,7.762005329,113.8936081,-10.09547997,80.81450653,3.359951019,67.98638153,-6.477615833,76.83737946,1.879000306,122.3144531,-5.591107845,138.0796509,3.759837866,141.5722504,-3.883747339,75.83453369,2.084424257,61.04183197,-4.41641283,70.14846039,2.047108889,72.73640442,-1.910099387,72.75059509,2.962130308,75.4659729,1.593822002,115.4376907,-6.752217293,199.3247681
Under Pressure (Remastered 2011).m4a,5479936,0.375214368,0.091554292,0.154880151,0.00900282,2419.41559,949649.4227,2313.062245,179186.6443,4898.970682,3057557.113,0.131099273,0.00872033,3.06e-05,0.015693365,2.21e-06,0.007803008,112.3471467,-116.0838699,22920.33789,86.41905212,1411.371826,-11.30420589,423.7700806,31.43393898,274.5323792,-1.038695931,170.8437958,13.60011196,95.64385223,-4.538442135,111.6402969,8.414163589,70.11560822,-6.543323994,71.93478394,8.767499924,85.07796478,-5.143995762,62.2729454,4.656998158,58.41490936,-4.971705914,50.61613464,5.914906979,60.37650681,-2.675163269,47.07042313,4.463998795,59.75604248,-2.876462936,44.15330887,3.176204205,59.79799652,-4.566256523,57.77127838,3.443194389,59.69577408
War Pigs.m4a,10441728,0.37853694,0.089398347,0.152206287,0.003906809,2411.806168,532110.0419,2318.273404,124721.7119,4912.09211,1451796.354,0.115415347,0.004914444,-7.51e-08,0.014121446,-5.03e-05,0.006002632,184.5703125,-96.32496643,8293.016602,83.00688934,1206.715576,-9.518795967,497.3093262,44.52719498,256.7982483,-12.90501213,156.138855,5.535985947,102.2718582,-7.99651432,85.32021332,3.286147118,87.76928711,-5.48801899,57.09397507,4.140641689,69.1977005,-7.711838245,53.89491272,7.218488216,50.19457245,-8.587001801,55.10309601,-1.188397646,55.1101265,-6.61374712,51.14655304,-1.358247042,48.47957993,-13.0303154,50.02880859,2.39393878,44.7910881,-4.984882832,49.97383118,2.83307147,54.45510483
Whole Lotta Love (2007 Remastered Version).m4a,7333376,0.435169816,0.08817289,0.115424626,0.003886802,2452.699702,531070.7455,2255.08857,184440.9594,4838.63732,2107814.682,0.124466449,0.004240055,-4.65e-08,0.009687601,-3.44e-05,0.00308834,172.265625,-114.472023,9723.768555,84.02165222,1083.061768,-27.75062752,599.3778687,33.98614883,284.0264587,3.284328222,247.1111755,14.30304241,144.4615936,-5.706416607,125.3842163,6.39346981,90.88156891,-7.86704874,100.5684509,5.79127264,76.40416718,-5.909459114,83.92694855,3.12637043,63.96265793,-7.617347717,77.29896545,4.017389297,72.99224091,-5.067783833,65.82704163,4.452346325,56.28417206,-4.775321007,66.08798981,3.063628674,76.60138702,-8.784580231,50.87516403,1.157663465,58.15221786
Working Man.m4a,3259392,0.32968384,0.090661831,0.110808365,0.001901042,2357.1748,575050.8765,2270.376632,230929.9009,4821.668713,2297190.548,0.120262974,0.003543498,7.49e-05,0.006460115,0.000613797,0.003850441,103.359375,-119.1202393,11195.30371,87.74259186,1064.883301,-16.14576149,462.5724182,29.99116516,181.5821686,-4.109134674,118.1885986,14.86977196,74.23796844,-9.307027817,72.1978302,6.002828121,76.65706635,-7.236220837,77.5344162,3.928771019,80.36116028,-9.757920265,65.15395355,7.472069263,66.43223572,-7.907227993,86.28502655,3.698061466,66.65184784,-9.523126602,45.07925797,0.268697917,58.70508957,-10.62056923,66.4799881,3.739607573,53.55430222,-4.212386608,62.9948349,5.039766312,83.47451782
You Make Me Feel (Mighty Real).m4a,8705536,0.391559035,0.089096405,0.083804347,0.002032639,2731.420504,453742.4446,2861.440808,108881.7932,6323.72835,1539136.194,0.115017514,0.002393249,-3.17e-07,0.002718766,-3.03e-05,0.003793335,129.1992188,-149.0854645,5208.948242,79.30780792,472.2103271,17.55000114,276.1757507,24.18848991,153.6117706,-0.496417999,102.1711731,15.8719635,77.41242981,-5.125740528,62.44013214,9.949464798,61.62001801,-11.51408672,62.35470963,3.262769461,52.48451614,-6.623729706,53.9804306,-0.174663126,40.70144272,-6.711462498,42.3059082,3.227085829,48.74941254,-7.835477352,51.58013916,4.180409908,43.8744545,-5.953326225,45.68209457,2.769458294,44.78089905,-9.400626183,40.87797165,2.031591654,49.36148071
Zanzibar.m4a,8076288,0.411850244,0.087397352,0.167946756,0.008269811,2850.648011,892132.8018,2573.784836,179788.0369,5837.701873,2536520.364,0.137490838,0.005729475,-5.55e-07,0.013938578,-9.06e-05,0.014856867,92.28515625,-87.23703766,12697.00391,64.64643097,1254.306885,-8.641830444,532.7087402,34.70619965,371.1917725,-1.549949527,291.3760681,5.476238251,183.4085388,-7.299959183,148.7026978,5.751646042,140.7151184,-4.961499691,93.10069275,4.718826294,86.72732544,-6.630518436,113.2718277,5.493601799,91.08817291,-7.933531284,87.60983276,1.682585597,92.48432922,-8.246892929,71.06904602,2.320237637,68.0423584,-9.786848068,72.95988464,-0.970799208,64.00976563,-10.25680447,66.0868454,-0.141411513,64.84268188
uploaded_audio_file.wav,661794,0.30428430438041687,0.09124721586704254,0.036320459097623825,0.00017280250904150307,2235.2480118458598,164732.95497865448,2259.0688650826314,67277.53509752595,4683.488333363544,927939.8718143734,0.09937373114849188,0.0010211578117019298,-6.0088686950621195e-06,0.0007004537619650364,-4.728239218820818e-05,0.0003152238205075264,112.34714673913044,-232.95944213867188,1298.657958984375,93.83140563964844,334.45330810546875,-16.19234848022461,272.79669189453125,49.591522216796875,101.67334747314453,-13.951523780822754,86.00031280517578,13.500869750976562,69.66378784179688,-11.832385063171387,45.35232162475586,13.29676342010498,34.203102111816406,-25.82591438293457,45.620609283447266,17.382801055908203,32.73811340332031,-13.318090438842773,24.473054885864258,9.2868013381958,36.62068176269531,-5.49476957321167,45.48643112182617,1.9281359910964966,50.86491394042969,-14.406502723693848,47.97882080078125,2.5930335521698,39.245872497558594,-11.484405517578125,48.935604095458984,-1.23464035987854,84.01325988769531,-5.2070770263671875,71.63750457763672,-3.8731632232666016,75.1207046508789
